Model loaded
loaded succeed
succeed 澎湃Logo
澎湃Logo 沈从文
沈从文 云南
云南 看
看 云
云 沈从文
沈从文 2018
2018 10
10 08
08 15
15 51
51 来
来 源
源 水
水 云
云 沈从文
沈从文 散文
散文 翻
翻 书
书 党
党 字号
字号 在
在 中国
中国 现代
现代 文学史
文学史 上
上 沈从文
沈从文 以
以 描绘
描绘 故乡
故乡 湘西
湘西 的
的 一
一 系列
系列 小说
小说 散文
散文 作品
作品 奠定
奠定 了
了 他
他 在
在 文坛
文坛 的
的 重要
重要 地位
地位 其
其 散文
散文 继承
继承 古代
古代 游记
游记 笔记
笔记 的
的 传统
传统 素淡
素淡 而
而 动人
动人 的
的 自叙
自叙 了
了 他
他 真实
真实 的
的 人生
人生 轨迹
轨迹 充满
充满 着
着 温馨
温馨 的
的 人情
人情 之
之 美
美 时值
时值 沈从文
沈从文 先生
先生 逝世
逝世 30
30 周年
周年 果麦
果麦 文化
文化 出版
出版 水
水 云
云 沈从文
沈从文 散文
散文 2018年
2018年 9月
9月 再现
再现 沈从文
沈从文 的
的 生命
生命 轨迹
轨迹 与
与 深
深 切乡
切乡 愁
愁 沈从文
沈从文 云南
云南 因
因 云
云 而
而 得名
得名 可是
可是 外省
外省 人
人 到
到 了
了 云南
云南 一年半载
一年半载 后
后 一定
一定 会
会 和
和 本地
本地 人
人 差
差 不
不 多
多 对于
对于 云南
云南 的
的 云
云 除却
除却 只能
只能 从
从 它
它 变化
变化 上
上 得到
得到 一点
一点 晴
晴 雨
雨 知识
知识 就
就 再
再 也
也 不
不 会
会 单纯
单纯 的
的 来
来 欣赏
欣赏 它
它 的
的 美丽
美丽 了
了 看
看 过
过 卢锡麟
卢锡麟 先生
先生 的
的 摄影
摄影 后
后 必
必 有
有 许多
许多 人方
人方 俨然
俨然 重新
重新 觉醒
觉醒 明白
明白 自己
自己 是
是 生
生 在
在 云南
云南 或
或 住
住 在
在 云南
云南 云南
云南 特点
特点 之一
之一 就
就 是
是 天上
天上 的
的 云变化
云变化 得
得 出奇
出奇 尤其
尤其 是
是 傍晚
傍晚 时
时 候
候 云
云 的
的 颜色
颜色 云
云 的
的 形状
形状 云
云 的
的 风度
风度 实在
实在 动人
动人 战争
战争 给
给 许多
许多 人
人 一
一 种
种 有关
有关 生活
生活 的
的 教育
教育 走
走 了
了 许多
许多 路
路 过
过 了
了 许多
许多 桥
桥 睡
睡 了
了 许多
许多 床
床 此外
此外 还
还 必然
必然 吃
吃 了
了 许多
许多 想象
想象 不
不 到
到 的
的 小
小 苦头
苦头 然而
然而 真正
真正 具有
具有 教育
教育 意义
意义 的
的 说
说 不
不 定
定 倒是
倒是 明白
明白 许多
许多 地方
地方 各
各 有
有 各
各 的
的 天气
天气 天气
天气 不
不 同
同 还
还 多少
多少 影响
影响 到
到 一点
一点 人事
人事 云
云 有
有 云
云 的
的 地方性
地方性 中国
中国 北部
北部 的
的 云厚重
云厚重 人
人 也
也 同样
同样 那
那 么
么 厚重
厚重 南部
南部 的
的 云
云 活泼
活泼 人
人 也
也 同样
同样 那
那 么
么 活泼
活泼 海边
海边 的
的 云幻异
云幻异 渤海
渤海 和
和 南海云
南海云 各
各 不
不 相同
相同 正
正 如
如 两
两 处
处 海边
海边 的
的 人
人 性情
性情 不
不 同
同 河南
河南 的
的 云
云 一
一 片
片 黄
黄 抓
抓 一
一 把
把 下
下 来
来 似乎
似乎 就
就 可以
可以 作
作 窝窝头
窝窝头 云粗
云粗 中
中 有
有 细
细 人
