Model loaded
loaded succeed
succeed 凤凰网
凤凰网 首
首 页
页 手机
手机 凤凰网
凤凰网 新闻
新闻 客户
客户 端
端 关闭
关闭 没有
没有 账号
账号 立即
立即 注册
注册 凤凰
凤凰 卫视
卫视 凤凰网
凤凰网 财经
财经 凤凰网
凤凰网 财经
财经 证券
证券 三
三 季报
季报 行情
行情 能
能 否
否 如期
如期 而
而 至
至 正文
正文 站
站 内
内 三季度
三季度 业绩
业绩 预告
预告 五行业
五行业 阴云
阴云 密布
密布 2008年
2008年 10月
10月 10日
10日 09
09 22
22 来
来 源
源 证券
证券 日报
日报 作者
作者 赵学毅
赵学毅 分享
分享 到
到 更
更 多
多 0
0 人
人 BUTTON
BUTTON Input
Input not
not implemented
implemented 0
0 人
人 参与0
参与0 条
条 评论
评论 煤炭
煤炭 钢铁
钢铁 行业
行业 业绩
业绩 仍
仍 将
将 惯性
惯性 增长
增长 保险
保险 电力
电力 等
等 五
五 大
大 行业
行业 阴云
阴云 密布
密布 10月
10月 8日
8日 沪
沪 深
深 两
两 市
市 开始
开始 披露
披露 三季报
三季报 万向
万向 德农
德农 将
将 是
是 第一
第一 家
家 公布
公布 业绩
业绩 的
的 公司
公司 在
在 随后
随后 的
的 20
20 多
多 天
天 的
的 时间
时间 内
内 1600
1600 多
多 家
家 公司
公司 的
的 三季报
三季报 将
将 全部
全部 披露
披露 完毕
完毕 在
在 三季
三季 报
报 即将
即将 隆重
隆重 登场
登场 的
的 时候
时候 业绩
业绩 预告
预告 的
的 披露
披露 可谓
可谓 如火如荼
如火如荼 而
而 在
在 业绩
业绩 预告
预告 中
中 所
所 表现
表现 出
出 来
来 的
的 行业
行业 冷暖
冷暖 更
更 值得
值得 关注
关注 本报
本报 统计
统计 数据
数据 显示
显示 截至
截至 10月
10月 6日
6日 沪
沪 深
深 两
两 市
市 共有
共有 611
611 家
家 上市
上市 公司
公司 预告
预告 其
其 前
前 三季度
三季度 业绩
业绩 状况
状况 有
有 324
324 家
家 公司
公司 因
因 业绩
业绩 改善
改善 或
或 提高
提高 而
而 报喜
报喜 其中
其中 192
192 家
家 预
预 增
增 92
92 家
家 略
略 增
增 40
40 家
家 扭亏
扭亏 而
而 在
在 241
241 家
家 因
因 业绩
业绩 下滑
下滑 或
或 亏损
亏损 报忧
报忧 公司
公司 中
中 则
则 有
有 60
60 家
家 预减
预减 42
42 家
家 略
略 减
减 61
61 家
家 续亏
续亏 78
78 家
家 首
首 亏
亏 此外
此外 另
另 有
有 46
