Model loaded
loaded succeed
succeed 优胜
优胜 从
从 选择
选择 开始
开始 我们
我们 是
是 您
您 最
最 好
好 的
的 选择
选择 中州
中州 期刊
期刊 联盟
联盟 新乡市
新乡市 博翰
博翰 文化
文化 传媒
传媒 有限公司
有限公司 收藏
收藏 本站
本站 机构
机构 合作
合作 帮助
帮助 中心
中心 教学
教学 与
与 管理
管理 电影
电影 文学
文学 生态
生态 经济
经济 新闻
新闻 论文
论文 名作
名作 欣赏
欣赏 经济
经济 人大
人大 转载
转载 phone
phone png
png v
v 0
0 0373
0373 5939925
5939925 我
我 要
要 检测
检测 我
我 要
要 投稿
投稿 合法
合法 期刊
期刊 查询
查询 全部
全部 期刊
期刊 分类
分类 历史
历史 风云
风云 下
下 的
的 女性
女性 悲歌
悲歌 浅析
浅析 张翎
张翎 雁过藻溪
雁过藻溪 中
中 的
的 女性
女性 书写
书写 作者
作者 程珮
程珮 来
来 源
源 名作欣赏
名作欣赏 日期
日期 2014
2014 10
10 0
0 8
8 人气
人气 4549
4549 雁过藻溪
雁过藻溪 曾
曾 被
被 加拿大
加拿大 星岛日报
星岛日报 称作
称作 是
是 张翎
张翎 最新
最新 一
一 轮
轮 文学井
文学井 喷中
喷中 的
的 首
首 篇
篇 在
在 此
此 之前
之前 张翎
张翎 的
的 小说
小说 已经
已经 因
因 文学性
文学性 极
极 强
强 而
而 引起
引起 专
专 家
家 关注
关注 而
而 雁过藻溪
雁过藻溪 在
在 此
此 基础
基础 上
上 更
更 向
向 中国
中国 历史
历史 的
的 纵深
纵深 挺进
挺进 主题
主题 厚重
厚重 在
在 她
她 的
的 创作
创作 道路
道路 上
上 向前
向前 迈出
迈出 一
一 大
大 步
步 然而
然而 应该
应该 引起
引起 读者
读者 关注
关注 的
的 绝
绝 不
不 仅仅
仅仅 是
是 主题
主题 的
的 厚重
厚重 本文
本文 试图
试图 从
从 这部
这部 小说
小说 中
中 女性
女性 象征
象征 意象
意象 细腻
细腻 婉约
婉约 的
的 女性
女性 语言
语言 女性
女性 命运
命运 的
的 温情
温情 书写
书写 以及
以及 寻找
寻找 后
后 的
的 精神
精神 归乡
归乡 这
这 四
四 个
个 方面
方面 来
来 解读
解读 雁过藻溪
雁过藻溪 中
中 的
的 女性
女性 书写
书写 一
一 女性
女性 象征
象征 意象
意象 藻溪
藻溪 张翎
张翎 的
的 小说
小说 大多
大多 是
是 讲
讲 女人
女人 的
的 故事
故事 对
对 女性
女性 命运
命运 的
的 书写
书写 构成
构成 了
了 张翎
张翎 小说
小说 一
一 条
条 鲜明
鲜明 的
的 主线
主线 而
而 以
以 藻溪
藻溪 为
为 代表
代表 的
的 水意象
水意象 则
则 在
在 女性
女性 命运
命运 的
的 展示
展示 中
中 充当
充当 了
了 重要
重要 的
的 介质
介质 作用
作用 海外
海外 华文
华文 评论
评论 家
家 陈瑞琳
陈瑞琳 曾
曾 把
把 她
她 比作
比作 水
水 做
做 的
的 女儿
女儿 很多
很多 女性
女性 的
的 故事
故事 总
总 都
都 是
是 在
在 藻溪
藻溪 边
边 展开
展开 女性
女性 的
的 命运
命运 总是
总是 与
与 故乡
故乡 的
的 历史
历史 相
相 连
连 藻溪
藻溪 成为
成为 女性
女性 命运
命运 转折点
转折点 成为
成为 历
历 史沧桑
史沧桑 的
的 象征物
象征物 如
如 邮购新娘
邮购新娘 空巢
空巢 等
等 雁过藻溪
雁过藻溪 中
中 末雁
末雁 的
的 母亲
母亲 当年
当年 从
从 藻溪
藻溪 边
边 赤
赤 脚
脚 逃
逃 出
出 了
了 留
留 给
给 她
她 伤痛
伤痛 的
的 故乡
故乡 从此
从此 再
再 也
也 没有
没有 回去
回去 过
过 而
而 回乡
回乡 安放
安放 母亲
母亲 骨灰
骨灰 的
的 末雁
末雁 在
在 对
对 故乡
故乡 藻溪
藻溪 的
的 历史
历史 溯源
溯源 中
中 找到
找到 了
了 母女
母女 情感
情感 隔阂
隔阂 的
的 答案
答案 探究
探究 了
了 母亲
母亲 在
在 政治
政治 历史
历史 的
的 冲击
冲击 中
中 女性
女性 命运
命运 的
的 坎坷
坎坷 水
水 是
是 生命
生命 之
之 源
源 由此
由此 引申
引申 而
而 来
来 的
的 水
水 就
就 具有
具有 了
了 母亲
母亲 般
般 的
的 滋养
滋养 和
和 哺育
哺育 的
的 意味
意味 小说
小说 在
在 题记
题记 里
里 写
写 到
到 谨
谨 将
将 此
此 书献
书献 给
给 母亲
母亲 和
和 那
那 条
条 母亲
母亲 的
的 河
河 这
这 一
一 题记
题记 明白
明白 无误
无误 地
地 告诉
告诉 读者
读者 在
在 张翎看
张翎看 来
来 藻溪
藻溪 这
这 条
条 颇
颇 具
具 诗意
诗意 的
的 河流
河流 这
这 条
条 激发
激发 张翎
张翎 创作
创作 灵感
灵感 与
与 哲思
哲思 的
的 母亲河
母亲河 已经
已经 不
不 仅仅
仅仅 是
是 一
一 条
条 独立
独立 的
的 河流
河流 和
和 单一
单一 的
的 水体
水体 而是
而是 生命
生命 的
的 源头
源头 传承
传承 文明
文明 与
与 文化
文化 的
的 载体
载体 那
那 么
么 以
以 藻溪
藻溪 为
为 代表
代表 的
的 故乡
故乡 自然
自然 恬淡
恬淡 宁静
宁静 她
她 如同
如同 哺育
哺育 了
了 儿女
儿女 的
的 母亲
母亲 在
在 儿女
儿女 的
的 心中
心中 构成
构成 一
一 种
种 巨大
巨大 的
的 精神
精神 向心力
向心力 成为
成为 诸多
诸多 女性
女性 寻求
寻求 安慰
安慰 和
和 归宿
归宿 的
的 精神家园
精神家园 雁过藻溪
雁过藻溪 中
中 末雁
末雁 远离
远离 故土
故土 婚姻
婚姻 触礁
触礁 女儿
女儿 隔阂
隔阂 身心
身心 疲惫
疲惫 的
的 末雁
末雁 重
重 回
回 故土
故土 寻找
寻找 精神
精神 的
的 根脉
根脉 在
在 那个
那个 叫
叫 藻溪
藻溪 的
的 狭小
狭小 世界
世界 里
里 她
她 遭遇
遭遇 了
了 她
她 的
的 大世界
大世界 里
里 所
所 不
不 曾
曾 遭遇
遭遇 过
过 的
的 东西
东西 最终
最终 在
在 藻溪
藻溪 边
边 重新
重新 找到
找到 了
了 自我
自我 消解
消解 了
了 横亘
横亘 在
在 母女
母女 间
间 几十
几十 年
年 的
的 恩怨
恩怨 和
和 隔阂
隔阂 也
也 透悟
透悟 了
了 人生
人生 文本
文本 中
中 藻溪
藻溪 的
的 潺潺
潺潺 流水
流水 贯穿
贯穿 首尾
首尾 历史
历史 女性
女性 河流
河流 互
互 渗
渗 互动
互动 不
不 仅
仅 有
有 末雁
末雁 与
与 百
百 川
川 水
水 与
与 火
火 的
的 缠绵
缠绵 也
也 有
有 母女
母女 之间
之间 说不清道不明
说不清道不明 的
的 纠葛
纠葛 与
与 误解
误解 还有
还有 汉斯
汉斯 来
来 信
信 中
中 穿插
穿插 的
的 索
索 罗
罗 沃登湖上
沃登湖上 的
的 一些
一些 片段
片段 以
以 水
水 的
的 安然
安然 和谐
和谐 之
之 境
境 抚慰
抚慰 现代人
现代人 浮躁
浮躁 喧嚣
喧嚣 的
的 内宇宙
内宇宙 在
在 张翎
张翎 笔下
笔下 水
水 的
的 柔美
柔美 沉静
沉静 与
与 女性
女性 柔弱
柔弱 不
不 屈
屈 顽强
顽强 的
的 个性
个性 结合
结合 在
在 一起
一起 两者
两者 形成
形成 了
了 文化
文化 层面
层面 的
的 呼应
呼应 张翎
张翎 借助于
借助于 对
对 水
水 的
的 形态
形态 的
的 把握
把握 洞悉
洞悉 生命
生命 的
的 内在
内在 意蕴
意蕴 把
把 女性
女性 比喻
比喻 成
成 各种
各种 形态
形态 的
的 水
水 水
水 和
和 人
人 互喻
互喻 生动
生动 诠释
诠释 了
了 女性
女性 的
的 精神
精神 品格
品格 为
为 小说
小说 增添
增添 了
了 神韵
神韵 以
以 藻溪
藻溪 为
为 代表
代表 的
的 水意象
水意象 既
既 体现
体现 出
出 江南
江南 地域
地域 文化
文化 对
对 创作
创作 主体
主体 的
的 创作
创作 影响
影响 又
又 显示
显示 出
出 审美
审美 主体
主体 借助
借助 水
水 叙事
叙事 渴望
渴望 表达
表达 更
更 丰富
丰富 的
的 社会
社会 历史
历史 文化
文化 内容
内容 的
的 殷切
殷切 最终
最终 把
把 水
水 作为
作为 构建
构建 第三
第三 地
地 空间
空间 的
的 具体
具体 表征物
表征物 正
正 如
如 论者
论者 所
所 言
言 独特
独特 的
的 故乡
故乡 水意象
水意象 的
的 选取
选取 与
与 展现
展现 更
更 体现
体现 了
了 女性
女性 作
作 家
家 独特
独特 的
的 审美
审美 视角
视角 与
与 柔婉
柔婉 的
的 内心
内心 使
使 作品
作品 具有
具有 飘逸
飘逸 灵动
灵动 的
的 阴柔
阴柔 之
之 美
美 表现
表现 出
出 明显
明显 的
的 女性
女性 色彩
色彩 与
与 女性
女性 风格
风格 二
二 困境
困境 中
中 的
的 女性
女性 心理
心理 张翎
张翎 写
写 得
得 较
较 多
多 的
的 写
写 得
得 最
最 好
好 的
的 是
是 女性
女性 的
的 心理
心理 空间
空间 尤其
尤其 是
是 困境
困境 中
中 的
的 女性
女性 心理
心理 她
她 笔下
笔下 的
的 人物
人物 可以
可以 什
什 么
么 都
都 没有
没有 但是
但是 必须
必须 有
有 一
一 颗
颗 敏感
敏感 的
的 心灵
心灵 因此
因此 张翎
张翎 的
的 故事
故事 首
首 先
先 都
都 是
是 关于
关于 心灵
心灵 的
的 故事
故事 她
她 笔下
笔下 最
最 常见
常见 的
的 是
是 那种
那种 离异
离异 独居
独居 的
的 单身
单身 女性
女性 往往
往往 是
是 身
身 处
处 此地
此地 的
的 困境
困境 而
而 心灵
心灵 却
却 在
在 向往
向往 着
着 更
更 远处
远处 的
的 一个
一个 完满
完满 这种
这种 特殊
特殊 而
而 又
又 暧昧
暧昧 的
的 身份
身份 无疑
无疑 为
为 张翎带
张翎带 来
来 自由
自由 想象
想象 的
的 空间
空间 张翎
张翎 经常
经常 以
以 人物
人物 的
的 婚恋
婚恋 为
为 中心
中心 在
在 各种
各种 事变
事变 的
的 聚焦
聚焦 之下
之下 来
来 透视
透视 他们
他们 的
的 心理
心理 这
这 一
一 方面
方面 显示
显示 了
了 她
她 的
的 女儿
女儿 本色
本色 另一方面
另一方面 也
也 归功
归功 于
于 她
她 捕捉
捕捉 细腻
细腻 感觉
感觉 的
的 能力
能力 雁过藻溪
雁过藻溪 中
中 的
的 末雁
末雁 是
是 一个
一个 80
80 年代
年代 留学
留学 加拿大
加拿大 的
的 知识
知识 女性
女性 在
在 事业
事业 方面
方面 具有
具有 非凡
非凡 的
的 聪明睿智
聪明睿智 完全
完全 能
能 独当一面
独当一面 而
而 在
在 另外
另外 一些
一些 方面
方面 却
却 异常
异常 的
的 天真
天真 无能
无能 在
在 国外
国外 与
与 丈夫
丈夫 毫无
毫无 理由
理由 地
地 离婚
离婚 之后
之后 返乡
返乡 送
送 母亲
母亲 回
回 祖坟
祖坟 安葬
安葬 这
这 一
一 次
次 藻溪
藻溪 之
之 行
行 却
却 成
成 了
了 一
一 场
场 发掘
发掘 自我
自我 的
的 旅程
旅程 她
她 发现
发现 的
的 不仅仅
不仅仅 是
是 一个
一个 关于
关于 自身
自身 身世
身世 的
的 惊天
惊天 秘密
秘密 其实
其实 也
也 经历
经历 了
了 错失
错失 在
在 青春
青春 岁月
岁月 里
里 的
的 成熟
成熟 过程
过程 有
有 对
对 情绪
情绪 的
的 渴望
渴望 自身
自身 潜藏
潜藏 的
的 欲望
欲望 对
对 母爱
母爱 的
的 顿悟
顿悟 还有
还有 在
在 爱情
爱情 婚姻
婚姻 方面
方面 通过
通过 她
