 je
je le
le hais
hais comme
comme vous
vous haïssez
haïssez dieu
dieu eh
eh qu
qu aimes
aimes tu
tu donc
donc extraordinaire
extraordinaire étranger
étranger j
j aime
aime les
les nuages
nuages les
les nuages
nuages qui
qui passent
passent là
là bas
bas là
là bas
bas les
les merveilleux
merveilleux nuages
nuages baudelaire
baudelaire petits
petits poèmes
poèmes en
en prose
prose i
i 
